iteration,env_steps,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_0_reward_mean,policy_1_reward_mean,policy_2_reward_mean,policy_3_reward_mean,policy_4_reward_mean,policy_5_reward_mean
0,4000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,8000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,12000,177.19699999999995,212.61399999999995,141.77999999999994,5015.5,nan,nan,nan,nan,nan,nan
3,16000,113.69039999999995,212.61399999999995,45.399000000000036,2681.4,nan,nan,nan,nan,nan,nan
4,20000,76.90171428571429,212.61399999999995,16.978999999999996,1402.4285714285713,nan,nan,nan,nan,nan,nan
5,24000,78.65370588235295,212.61399999999995,16.978999999999996,1371.5882352941176,nan,nan,nan,nan,nan,nan
6,28000,66.01144000000001,212.61399999999995,9.04,1112.08,nan,nan,nan,nan,nan,nan
7,32000,67.01346428571428,212.61399999999995,9.04,1105.607142857143,nan,nan,nan,nan,nan,nan
8,36000,55.226170731707334,212.61399999999995,9.04,870.1463414634146,nan,nan,nan,nan,nan,nan
9,40000,51.16827083333334,212.61399999999995,9.04,814.875,nan,nan,nan,nan,nan,nan
10,44000,46.076694915254244,212.61399999999995,7.027999999999998,729.9830508474577,nan,nan,nan,nan,nan,nan
11,48000,44.09560869565218,212.61399999999995,7.027999999999998,691.1884057971015,nan,nan,nan,nan,nan,nan
12,52000,42.167734177215195,212.61399999999995,7.027999999999998,654.6835443037975,nan,nan,nan,nan,nan,nan
13,56000,37.45237113402063,212.61399999999995,7.027999999999998,576.2783505154639,nan,nan,nan,nan,nan,nan
14,60000,31.039490000000004,162.96399999999988,7.027999999999998,435.31,nan,nan,nan,nan,nan,nan
15,64000,23.855550000000004,110.91399999999966,7.027999999999998,342.71,nan,nan,nan,nan,nan,nan
16,68000,21.00536,66.61600000000008,7.027999999999998,320.8,nan,nan,nan,nan,nan,nan
17,72000,19.53089,56.31300000000005,8.357999999999999,293.04,nan,nan,nan,nan,nan,nan
18,76000,16.736159999999998,49.79999999999997,8.205999999999998,252.32,nan,nan,nan,nan,nan,nan
19,80000,15.890730000000001,39.89499999999999,8.017000000000001,239.42,nan,nan,nan,nan,nan,nan
20,84000,15.038879999999995,29.319999999999986,8.017000000000001,217.87,nan,nan,nan,nan,nan,nan
21,88000,15.259539999999998,29.319999999999986,8.017000000000001,198.44,nan,nan,nan,nan,nan,nan
22,92000,14.604399999999998,29.319999999999986,8.017000000000001,170.77,nan,nan,nan,nan,nan,nan
23,96000,14.55755,24.61599999999999,8.072999999999999,157.66,nan,nan,nan,nan,nan,nan
24,100000,14.068489999999999,24.61599999999999,7.971999999999999,142.53,nan,nan,nan,nan,nan,nan
25,104000,13.843330000000002,24.61599999999999,7.971999999999999,136.01,nan,nan,nan,nan,nan,nan
26,108000,13.712570000000001,21.380000000000006,7.971999999999999,130.15,nan,nan,nan,nan,nan,nan
27,112000,13.84218,21.380000000000006,7.615000000000003,128.16,nan,nan,nan,nan,nan,nan
28,116000,13.37567,21.479,7.123999999999998,123.07,nan,nan,nan,nan,nan,nan
29,120000,13.270760000000001,21.479,7.123999999999998,120.93,nan,nan,nan,nan,nan,nan
30,124000,13.155629999999999,21.479,6.622000000000002,118.38,nan,nan,nan,nan,nan,nan
31,128000,13.141580000000001,20.965000000000007,6.622000000000002,117.08,nan,nan,nan,nan,nan,nan
32,132000,13.232429999999999,20.965000000000007,6.622000000000002,117.3,nan,nan,nan,nan,nan,nan
33,136000,13.092880000000003,18.448000000000004,8.259000000000002,117.19,nan,nan,nan,nan,nan,nan
34,140000,13.14067,18.448000000000004,8.075000000000003,116.87,nan,nan,nan,nan,nan,nan
