iteration,env_steps,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_0_reward_mean,policy_1_reward_mean,policy_2_reward_mean,policy_3_reward_mean,policy_4_reward_mean,policy_5_reward_mean
0,4000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,8000,50.962000000000145,50.962000000000145,50.962000000000145,2051.0,nan,nan,nan,nan,nan,nan
2,12000,87.45766666666678,174.81700000000018,36.594000000000015,2393.0,nan,nan,nan,nan,nan,nan
3,16000,94.0750000000001,307.7630000000005,21.788000000000004,1732.4444444444443,nan,nan,nan,nan,nan,nan
4,20000,81.57442857142864,307.7630000000005,21.788000000000004,1402.857142857143,nan,nan,nan,nan,nan,nan
5,24000,67.4531428571429,307.7630000000005,17.261000000000006,1097.7142857142858,nan,nan,nan,nan,nan,nan
6,28000,57.69677419354842,307.7630000000005,17.261000000000006,894.9354838709677,nan,nan,nan,nan,nan,nan
7,32000,49.334095238095266,307.7630000000005,9.005,760.9761904761905,nan,nan,nan,nan,nan,nan
8,36000,46.22932000000004,307.7630000000005,9.005,714.66,nan,nan,nan,nan,nan,nan
9,40000,41.0057777777778,307.7630000000005,9.005,627.952380952381,nan,nan,nan,nan,nan,nan
10,44000,40.04778873239439,307.7630000000005,9.005,604.2253521126761,nan,nan,nan,nan,nan,nan
11,48000,37.810600000000015,307.7630000000005,9.005,562.8705882352941,nan,nan,nan,nan,nan,nan
12,52000,35.22044897959185,307.7630000000005,9.005,523.3775510204082,nan,nan,nan,nan,nan,nan
13,56000,25.911680000000004,83.68900000000008,9.005,356.52,nan,nan,nan,nan,nan,nan
14,60000,23.18312000000001,83.68900000000008,9.005,325.72,nan,nan,nan,nan,nan,nan
15,64000,21.545800000000007,83.68900000000008,9.035000000000002,302.59,nan,nan,nan,nan,nan,nan
16,68000,20.00933,83.68900000000008,8.098000000000003,280.16,nan,nan,nan,nan,nan,nan
17,72000,16.817259999999997,43.683000000000014,6.843,244.05,nan,nan,nan,nan,nan,nan
18,76000,15.882899999999998,43.683000000000014,6.843,231.58,nan,nan,nan,nan,nan,nan
19,80000,14.697630000000002,43.683000000000014,6.843,213.65,nan,nan,nan,nan,nan,nan
20,84000,14.067610000000002,34.26300000000001,6.843,198.31,nan,nan,nan,nan,nan,nan
21,88000,13.84568,32.53999999999999,6.843,185.85,nan,nan,nan,nan,nan,nan
22,92000,14.12611,29.096999999999987,8.192,175.83,nan,nan,nan,nan,nan,nan
23,96000,14.083680000000001,29.096999999999987,6.507000000000001,161.01,nan,nan,nan,nan,nan,nan
24,100000,13.357989999999997,29.096999999999987,6.507000000000001,141.41,nan,nan,nan,nan,nan,nan
25,104000,12.502129999999998,25.29999999999999,6.507000000000001,126.92,nan,nan,nan,nan,nan,nan
26,108000,12.541840000000002,20.922000000000004,7.163,122.45,nan,nan,nan,nan,nan,nan
27,112000,12.47903,20.767,7.163,118.89,nan,nan,nan,nan,nan,nan
28,116000,12.60238,20.767,7.016000000000002,117.45,nan,nan,nan,nan,nan,nan
29,120000,12.219240000000003,20.36100000000001,7.016000000000002,112.74,nan,nan,nan,nan,nan,nan
30,124000,12.27941,20.36100000000001,7.016000000000002,111.84,nan,nan,nan,nan,nan,nan
31,128000,12.177560000000001,17.757,7.373000000000001,109.74,nan,nan,nan,nan,nan,nan
32,132000,12.299250000000004,17.624,7.373000000000001,110.43,nan,nan,nan,nan,nan,nan
33,136000,12.284320000000001,17.47,6.943000000000001,109.01,nan,nan,nan,nan,nan,nan
34,140000,12.40159,17.2,6.943000000000001,108.21,nan,nan,nan,nan,nan,nan
35,144000,12.21978,17.2,8.492,106.98,nan,nan,nan,nan,nan,nan
36,148000,11.931930000000001,15.488000000000001,8.051,105.47,nan,nan,nan,nan,nan,nan
37,152000,11.734390000000001,16.220000000000002,7.836999999999998,105.7,nan,nan,nan,nan,nan,nan
38,156000,11.742380000000002,16.693,7.836999999999998,105.76,nan,nan,nan,nan,nan,nan
39,160000,11.955320000000002,16.693,7.779,106.21,nan,nan,nan,nan,nan,nan
40,164000,11.81963,16.119,7.779,103.86,nan,nan,nan,nan,nan,nan
41,168000,11.843789999999998,16.638,7.779,103.34,nan,nan,nan,nan,nan,nan
42,172000,11.834550000000002,16.638,8.115000000000002,102.97,nan,nan,nan,nan,nan,nan
43,176000,12.069849999999999,16.551,8.141000000000002,104.42,nan,nan,nan,nan,nan,nan
44,180000,12.110030000000004,16.551,8.245000000000001,104.43,nan,nan,nan,nan,nan,nan
45,184000,12.26432,17.621000000000006,7.704999999999997,105.82,nan,nan,nan,nan,nan,nan
46,188000,12.04164,17.621000000000006,7.704999999999997,105.84,nan,nan,nan,nan,nan,nan
47,192000,12.201369999999999,17.621000000000006,7.956999999999999,106.57,nan,nan,nan,nan,nan,nan
48,196000,12.241950000000001,16.842,7.956999999999999,106.65,nan,nan,nan,nan,nan,nan
49,200000,12.332949999999999,16.842,7.956999999999999,107.91,nan,nan,nan,nan,nan,nan
50,204000,12.211620000000003,16.811000000000003,7.8389999999999995,108.4,nan,nan,nan,nan,nan,nan
51,208000,12.347740000000002,16.811000000000003,7.8389999999999995,109.44,nan,nan,nan,nan,nan,nan
52,212000,12.479920000000002,17.328000000000003,7.686999999999999,109.94,nan,nan,nan,nan,nan,nan
53,216000,12.710650000000003,17.735,6.699,111.32,nan,nan,nan,nan,nan,nan
54,220000,12.502699999999999,17.735,6.699,110.27,nan,nan,nan,nan,nan,nan
55,224000,12.28173,17.735,6.699,108.17,nan,nan,nan,nan,nan,nan
56,228000,12.077610000000004,15.675,6.808999999999999,106.98,nan,nan,nan,nan,nan,nan
57,232000,11.95749,16.212999999999997,6.808999999999999,106.14,nan,nan,nan,nan,nan,nan
58,236000,11.997830000000004,16.212999999999997,6.514000000000003,106.27,nan,nan,nan,nan,nan,nan
59,240000,11.74598,15.817000000000004,6.514000000000003,104.35,nan,nan,nan,nan,nan,nan
60,244000,11.99132,16.911000000000005,6.514000000000003,105.52,nan,nan,nan,nan,nan,nan
61,248000,11.949580000000001,16.911000000000005,7.893999999999998,105.04,nan,nan,nan,nan,nan,nan
62,252000,11.995869999999998,16.911000000000005,8.166,105.93,nan,nan,nan,nan,nan,nan
63,256000,11.916149999999998,16.517,8.166,105.0,nan,nan,nan,nan,nan,nan
64,260000,11.665950000000002,15.759,8.166,104.16,nan,nan,nan,nan,nan,nan
65,264000,11.81507,16.547000000000004,8.549,105.65,nan,nan,nan,nan,nan,nan
66,268000,11.893760000000002,16.547000000000004,8.549,106.22,nan,nan,nan,nan,nan,nan
67,272000,12.081000000000003,16.547000000000004,8.731000000000003,107.54,nan,nan,nan,nan,nan,nan
68,276000,12.19456,16.409,8.850000000000001,107.69,nan,nan,nan,nan,nan,nan
69,280000,12.089770000000003,16.409,8.286,106.7,nan,nan,nan,nan,nan,nan
70,284000,12.27082,16.662,8.286,107.36,nan,nan,nan,nan,nan,nan
71,288000,12.169950000000002,16.662,7.916000000000001,106.5,nan,nan,nan,nan,nan,nan
